"Table S1A. Information for the 2,466 rice accessions from the International Rice Genebank Collection at the International Rice Research Institute.",,,,,,,,,,,,,,,
Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Genetic_Stock_Accno,Genetic_stock_Designation (varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,SRA Accession,
587,IRRI,IRIS 313-9838,TEPUKE::IRGC 12872-1-1,IRGC 12872,TEPUKE,,New Zealand,IRGC 125919,TEPUKE::IRGC 12872-1,59045120,59045120,12.3,Temperate japonica,ERS468339,
588,IRRI,IRIS 313-9839,O SATIVA::IRGC 12876-1-1,IRGC 12876,COLUSA/NANO F 31,,Spain,IRGC 125862,O. SATIVA::IRGC 12876-1,35200512,35200512,7.3,Temperate japonica,ERS468340,
589,IRRI,IRIS 313-9884,FUKUSHIMA MOCHI (GLUT)::IRGC 19296-1-1,IRGC 19296,FUKUSHIMA-MOCHI(GLUT.),,Japan,IRGC 125743,FUKUSHIMA MOCHI (GLUT)::IRGC 19296-1,53173190,53173190,11.0,Temperate japonica,ERS468341,
590,IRRI,IRIS 313-9886,HUK ZO::IRGC 19760-1-1,IRGC 19760,HUK ZO,,South Korea,IRGC 125767,HUK ZO::IRGC 19760-1,52326642,52326642,10.9,Temperate japonica,ERS468342,
591,IRRI,IRIS 313-9887,JEUK DO::IRGC 19775-1-1,IRGC 19775,JEUK DO,,South Korea,IRGC 125784,JEUK DO::IRGC 19775-1,53142680,53142680,11.0,Temperate japonica,ERS468343,
592,IRRI,IRIS 313-9890,WA BANG::IRGC 19880-1-1,IRGC 19880,WA BANG,,South Korea,IRGC 125934,WA BANG::IRGC 19880-1,51118430,51118430,10.6,Temperate japonica,ERS468344,
593,IRRI,IRIS 313-9891,YONG AN HUK::IRGC 19891-1-1,IRGC 19891,YONG AN HUK,,South Korea,IRGC 125945,YONG AN HUK::IRGC 19891-1,52707082,52707082,10.9,Temperate japonica,ERS468345,
594,IRRI,IRIS 313-9937,ROCCA::IRGC 50351-1-1,IRGC 50351,ROCCA,,Italy,IRGC 125888,ROCCA::IRGC 50351-1,78519690,78519690,16.3,Aus/boro,ERS468346,
595,IRRI,IRIS 313-9961,WIR 884::IRGC 51591-1-1,IRGC 51591,WIR884,,Norway,IRGC 125939,WIR 884::IRGC 51591-1,75489570,75489570,15.7,Temperate japonica,ERS468347,
596,IRRI,IRIS 313-9963,WIR 1391::IRGC 51605-1-1,IRGC 51605,WIR1391,,Sri Lanka,,,71380390,71380390,14.8,Temperate japonica,ERS468348,
597,IRRI,IRIS 313-9964,WIR 1951::IRGC 51643-1-1,IRGC 51643,WIR1951,,Georgia,IRGC 125938,WIR 1951::IRGC 51643-1,68021192,68021192,14.1,Temperate japonica,ERS468349,
598,IRRI,IRIS 313-9974,HEUKSANJO::IRGC 55536-1-1,IRGC 55536,HEUKSANJO,,South Korea,IRGC 125761,HEUKSANJO::IRGC 55536-1,52512966,52512966,10.9,Temperate japonica,ERS468350,
599,IRRI,IRIS 313-9996,SUWEON 295::IRGC 58368-1-1,IRGC 58368,SUWEON 295,,South Korea,IRGC 126990,SUWEON 295::IRGC 58368-1,69152070,69152070,14.3,Tropical japonica,ERS468351,
600,IRRI,IRIS 313-10014,SANT ANDREA::IRGC 65732-1-1,IRGC 65732,SANT ANDREA,,Italy,IRGC 125898,SANT ANDREA::IRGC 65732-1,49813750,49813750,10.3,Temperate japonica,ERS468352,
601,IRRI,IRIS 313-10056,HOKURIKU 52::IRGC 72491-1-1,IRGC 72491,HOKURIKU 52,,Japan,IRGC 125763,HOKURIKU 52::IRGC 72491-1,46555254,46555254,9.7,Temperate japonica,ERS468353,
602,IRRI,IRIS 313-10057,CHUGOKU 68 HEN::IRGC 72514-1-1,IRGC 72514,CHUGOKU 68 HEN,,Japan,IRGC 125707,CHUGOKU 68 HEN::IRGC 72514-1,31451772,28947946,6.0,Temperate japonica,ERS468354,
603,IRRI,IRIS 313-10059,DACHEONGBYEO::IRGC 72533-1-1,IRGC 72533,DACHEONGBYEO,,South Korea,IRGC 125717,DACHEONGBYEO::IRGC 72533-1,72492964,72492964,15.0,Temperate japonica,ERS468355,
604,IRRI,IRIS 313-10083,BETIS::IRGC 74581-1-1,IRGC 74581,BETIS,,Spain,IRGC 125679,BETIS::IRGC 74581-1,42076078,42076078,8.7,Temperate japonica,ERS468356,
605,IRRI,IRIS 313-10084,SENIA::IRGC 74582-1-1,IRGC 74582,SENIA,,Spain,IRGC 125899,SENIA::IRGC 74582-1,60864702,60864702,12.6,Temperate japonica,ERS468357,
606,IRRI,IRIS 313-10089,KALIN::IRGC 77312-1-1,IRGC 77312,KALIN,,Bulgaria,IRGC 125791,KALIN::IRGC 77312-1,63634270,63634270,13.2,Temperate japonica,ERS468358,
607,IRRI,IRIS 313-10092,CHALBYEO::IRGC 77639-1-1,IRGC 77639,CHALBYEO,,South Korea,IRGC 125698,CHALBYEO::IRGC 77639-1,48363834,48363834,10.0,Temperate japonica,ERS468359,
608,IRRI,IRIS 313-10093,CHEONJUDO::IRGC 77644-1-1,IRGC 77644,CHEONJUDO,,South Korea,IRGC 125700,CHEONJUDO::IRGC 77644-1,37963470,37963470,7.9,Temperate japonica,ERS468360,
609,IRRI,IRIS 313-10097,MAEKJO::IRGC 77666-1-1,IRGC 77666,MAEKJO,,South Korea,IRGC 125830,MAEKJO::IRGC 77666-1,116737032,94874419,19.7,Temperate japonica,ERS468361,
610,IRRI,IRIS 313-10111,MOLO::IRGC 81603-1-1,IRGC 81603,MOLO,,Italy,IRGC 125843,MOLO::IRGC 81603-1,46960036,46960036,9.7,Temperate japonica,ERS468362,
611,IRRI,IRIS 313-10119,GITANO::IRGC 82424-1-1,IRGC 82424,GITANO,,Italy,IRGC 125752,GITANO::IRGC 82424-1,59056822,59056822,12.3,Temperate japonica,ERS468363,
612,IRRI,IRIS 313-10164,HAN NUO::IRGC 59591-1-1,IRGC 59591,HAN NUO,,China,IRGC 125757,HAN NUO::IRGC 59591-1,41106080,41106080,8.5,Aus/boro,ERS468364,
613,IRRI,IRIS 313-10379,IR 73688-57-2::IRGC 117383-1-1,IRGC 117383,IR 73688-57-2,,Philippines,IRGC 125980,IR 73688-57-2::IRGC 117383-1,46174518,46174518,9.6,Temperate japonica,ERS468365,
614,IRRI,IRIS 313-10380,IR 73690-7-2-1-1-3-2-2-1::IRGC 117384-1-1,IRGC 117384,IR 73690-7-2-1-1-3-2-2-1,,Philippines,IRGC 125981,IR 73690-7-2-1-1-3-2-2-1::IRGC 117384-1,65973936,65973936,13.7,Temperate japonica,ERS468366,
615,IRRI,IRIS 313-8481,DAN YAN NUO::IRGC 4860-1-1,IRGC 4860,DAN-YAN-NUO,,China,IRGC 126198,DAN YAN NUO::IRGC 4860-1,52258938,52258938,10.8,Temperate japonica,ERS468367,
616,IRRI,IRIS 313-10242,H 305-84::IRGC 116988-1-1,IRGC 116988,H 305-84,,Hungary,IRGC 127074,H 305-84::IRGC 116988-1,49738210,49738210,10.3,Temperate japonica,ERS468368,
617,IRRI,IRIS 313-9771,BERGREIS::IRGC 3150-1-1,IRGC 3150,BERGREIS,,Austria,IRGC 126185,BERGREIS::IRGC 3150-1,,,,Tropical japonica,ERS468369,
618,IRRI,IRIS 313-10373,IR 68333-R-R-B-19::IRGC 117381-1-1,IRGC 117381,IR 68333-R-R-B-19,,Philippines,IRGC 126027,IR 68333-R-R-B-19::IRGC 117381-1,48107296,48107296,10.0,Tropical japonica,ERS468370,
619,IRRI,IRIS 313-8277,K 2 C 14::IRGC 68549-1-1,IRGC 68549,K 2 C 14,,Ivory Coast,IRGC 126067,K 2 C 14::IRGC 68549-1,51565620,51565620,10.7,Intermediate type,ERS468371,
620,IRRI,IRIS 313-8285,KATY::IRGC 77140-1-1,IRGC 77140,KATY,,United States,IRGC 125614,KATY::IRGC 77140-1,,,,Tropical japonica,ERS468372,
621,IRRI,IRIS 313-8302,KAMJA::IRGC 62171-1-1,IRGC 62171,KAMJA,,Bhutan,IRGC 126116,KAMJA::IRGC 62171-1,59536290,59536290,12.4,Temperate japonica,ERS468373,
622,IRRI,IRIS 313-8339,BOND::IRGC 66755-1-1,IRGC 66755,BOND,,United States,IRGC 125603,BOND::IRGC 66755-1,44699402,44699402,9.3,Japonica,ERS468374,
623,IRRI,IRIS 313-8387,FU LI HONG::IRGC 70250-1-1,IRGC 70250,FU LI HONG,,China,IRGC 125610,FU LI HONG::IRGC 70250-1,31017176,28257208,5.9,Tropical japonica,ERS468375,
624,IRRI,IRIS 313-8400,RIKUTO NORIN MOCHI 20::IRGC 410-1-1,IRGC 410,RIKUTO NORIN MOCHI 20,,Japan,IRGC 125622,RIKUTO NORIN MOCHI 20::IRGC 410-1,49193366,49193366,10.2,Tropical japonica,ERS468376,
625,IRRI,IRIS 313-8434,TEBONNET::IRGC 66760-1-1,IRGC 66760,TEBONNET,,United States,IRGC 125625,TEBONNET::IRGC 66760-1,63049102,63049102,13.1,Tropical japonica,ERS468377,
626,IRRI,IRIS 313-8519,MANDASHERPO::IRGC 64913-1-1,IRGC 64913,MANDASHERPO,,Bhutan,IRGC 125995,MANDASHERPO::IRGC 64913-1,45738806,45738806,9.5,Indica,ERS468378,
627,IRRI,IRIS 313-8626,BANJANG::IRGC 44069-1-1,IRGC 44069,BANJANG,,Malaysia,IRGC 126045,BANJANG::IRGC 44069-1,53006234,53006234,11.0,Tropical japonica,ERS468379,
628,IRRI,IRIS 313-8739,TAI 6::IRGC 69058-1-1,IRGC 69058,TAI 6,,Ivory Coast,IRGC 126090,TAI 6::IRGC 69058-1,54850716,54850716,11.4,Tropical japonica,ERS468380,
629,IRRI,IRIS 313-8768,MOROFIN::IRGC 56698-1-1,IRGC 56698,MOROFIN,,Ivory Coast,IRGC 127060,MOROFIN::IRGC 56698-1,85481550,85481550,17.7,Tropical japonica,ERS468381,
630,IRRI,IRIS 313-8778,SUP BLUE ROSE::IRGC 1739-1-1,IRGC 1739,SUP BLUE ROSE,,United States,IRGC 126124,SUP BLUE ROSE::IRGC 1739-1,38206264,38206264,7.9,Tropical japonica,ERS468382,
631,IRRI,IRIS 313-8815,JANA (NAM)::IRGC 64897-1-1,IRGC 64897,JANA(NAM),,Bhutan,IRGC 125780,JANA (NAM)::IRGC 64897-1,54516804,54516804,11.3,Tropical japonica,ERS468383,
632,IRRI,IRIS 313-8857,KAMNAM::IRGC 64902-1-1,IRGC 64902,KAMNAM,,Bhutan,IRGC 125793,KAMNAM::IRGC 64902-1,58899876,58899876,12.2,Tropical japonica,ERS468384,
633,IRRI,IRIS 313-8876,DELITUS::IRGC 5769-1-1,IRGC 5769,DELITUS,,France,IRGC 125725,DELITUS::IRGC 5769-1,55893648,55893648,11.6,Tropical japonica,ERS468385,
634,IRRI,IRIS 313-8884,E WAWNG::IRGC 71140-1-1,IRGC 71140,E-WAWNG,,Thailand,IRGC 126134,E WAWNG::IRGC 71140-1,46739952,46739952,9.7,Tropical japonica,ERS468386,
635,IRRI,IRIS 313-8894,LEKATAN::IRGC 71554-1-1,IRGC 71554,LEKATAN,,Malaysia,IRGC 126070,LEKATAN::IRGC 71554-1,49570908,49570908,10.3,Tropical japonica,ERS468387,
636,IRRI,IRIS 313-8955,LASAT PUTIH::IRGC 44076-1-1,IRGC 44076,LASAT PUTIH,,Malaysia,IRGC 126231,LASAT PUTIH::IRGC 44076-1,46081038,46081038,9.6,Tropical japonica,ERS468388,
637,IRRI,IRIS 313-8960,BLUEBONNET::IRGC 1799-1-1,IRGC 1799,BLUEBONNET,,United States,IRGC 125688,BLUEBONNET::IRGC 1799-1,56169198,56169198,11.7,Indica,ERS468389,
638,IRRI,IRIS 313-8976,SKY BONNET::IRGC 66759-1-1,IRGC 66759,SKY BONNET,,United States,IRGC 125902,SKY BONNET::IRGC 66759-1,41940718,41940718,8.7,Tropical japonica,ERS468390,
639,IRRI,IRIS 313-8987,SERIBU::IRGC 71615-1-1,IRGC 71615,SERIBU,,Malaysia,,,37993124,37993124,7.9,Tropical japonica,ERS468391,
640,IRRI,IRIS 313-9129,LAYANDABU::IRGC 25214-1-1,IRGC 25214,LAYANDABU,,Indonesia,IRGC 125820,LAYANDABU::IRGC 25214-1,36112286,36112286,7.5,Tropical japonica,ERS468392,
641,IRRI,IRIS 313-9176,ARC 11359::IRGC 21348-1-1,IRGC 21348,ARC 11359,,India,IRGC 125639,ARC 11359::IRGC 21348-1,48104590,48104590,10.0,Tropical japonica,ERS468393,
642,IRRI,IRIS 313-9297,KORR::IRGC 30751-1-1,IRGC 30751,KORR,,Liberia,IRGC 126155,KORR::IRGC 30751-1,59787908,59787908,12.4,Tropical japonica,ERS468394,
643,IRRI,IRIS 313-9366,IMPROVED BLUE ROSE::IRGC 5022-1-1,IRGC 5022,IMPROVED BLUE ROSE,,United States,IRGC 125771,IMPROVED BLUE ROSE::IRGC 5022-1,45994256,45994256,9.5,Tropical japonica,ERS468395,
644,IRRI,IRIS 313-9375,PULUTAN::IRGC 71596-1-1,IRGC 71596,PULUTAN,,Malaysia,IRGC 125877,PULUTAN::IRGC 71596-1,54101882,54101882,11.2,Japonica,ERS468396,
645,IRRI,IRIS 313-9389,KINANDANG BUSIKSIK::IRGC 74607-1-1,IRGC 74607,KINANDANG BUSIKSIK,,Philippines,IRGC 126982,KINANDANG BUSIKSIK::IRGC 74607-1,48272630,48272630,10.0,Tropical japonica,ERS468397,
646,IRRI,IRIS 313-9405,INGSA BELANAK::IRGC 43402-1-1,IRGC 43402,INGSA BELANAK,,Indonesia,IRGC 126059,INGSA BELANAK::IRGC 43402-1,48706442,48706442,10.1,Tropical japonica,ERS468398,
647,IRRI,IRIS 313-9423,AGUYOD::IRGC 67423-1-1,IRGC 67423,AGUYOD,,Philippines,IRGC 125635,AGUYOD::IRGC 67423-1,25302646,25302646,5.3,Tropical japonica,ERS468399,
648,IRRI,IRIS 313-9452,B 505 A 1-28-7-1-2::IRGC 6741-1-1,IRGC 6741,B 505 A 1-28-7-1-2,,United States,IRGC 125661,B 505 A 1-28-7-1-2::IRGC 6741-1,50453916,50453916,10.5,Tropical japonica,ERS468400,
649,IRRI,IRIS 313-9491,BLUE BELLE::IRGC 51125-1-1,IRGC 51125,BLUE BELLE,,United States,IRGC 125685,BLUE BELLE::IRGC 51125-1,32963354,32963354,6.8,Temperate japonica,ERS468401,
650,IRRI,IRIS 313-9529,DAGPA BARA::IRGC 64887-1-1,IRGC 64887,DAGPA BARA,,Bhutan,IRGC 125720,DAGPA BARA::IRGC 64887-1,43746412,43746412,9.1,Tropical japonica,ERS468402,
651,IRRI,IRIS 313-9539,TEXAS PATNA 49::IRGC 6077-1-1,IRGC 6077,TEXAS PATNA 49,,United States,IRGC 125920,TEXAS PATNA 49::IRGC 6077-1,44419124,44419124,9.2,Tropical japonica,ERS468403,
652,IRRI,IRIS 313-9550,VEGOLD::IRGC 7756-1-1,IRGC 7756,VEGOLD,,United States,IRGC 125932,VEGOLD::IRGC 7756-1,63533590,63533590,13.2,Tropical japonica,ERS468404,
653,IRRI,IRIS 313-9691,SIFARASI::IRGC 66644-1-1,IRGC 66644,SIFARASI,,Indonesia,IRGC 126311,SIFARASI::IRGC 66644-1,62415732,62415732,13.0,Japonica,ERS468405,
654,IRRI,IRIS 313-9745,VARY MALADY::IRGC 69911-1-1,IRGC 69911,VARY MALADY,,Madagascar,IRGC 127069,VARY MALADY::IRGC 69911-1,,,,Japonica,ERS468406,
655,IRRI,IRIS 313-9789,RIKUTO TAUKI MOCHI 27::IRGC 5726-1-1,IRGC 5726,RIKUTO TAUKI MOCHI 27,,Japan,IRGC 125885,RIKUTO TAUKI MOCHI 27::IRGC 5726-1,42212312,42212312,8.8,Tropical japonica,ERS468407,
656,IRRI,IRIS 313-9800,KAHEI::IRGC 7691-1-1,IRGC 7691,KAHEI,,Japan,IRGC 126981,KAHEI::IRGC 7691-1,48179150,48179150,10.0,Tropical japonica,ERS468408,
657,IRRI,IRIS 313-9851,GOGOWIERIE::IRGC 14791-1-1,IRGC 14791,GOGOWIERIE,,Suriname,IRGC 126977,GOGOWIERIE::IRGC 14791-1,59602862,59602862,12.4,Tropical japonica,ERS468409,
658,IRRI,IRIS 313-9897,BIKYAT::IRGC 26276-1-1,IRGC 26276,BIKYAT,,Philippines,IRGC 125682,BIKYAT::IRGC 26276-1,44114018,44114018,9.2,Japonica,ERS468410,
659,IRRI,IRIS 313-9980,FORTUNA INIA::IRGC 55865-1-1,IRGC 55865,FORTUNA INIA,,Argentina,IRGC 125741,FORTUNA INIA::IRGC 55865-1,58030858,58030858,12.0,Japonica,ERS468411,
660,IRRI,IRIS 313-10025,KALAPATLE::IRGC 68500-1-1,IRGC 68500,KALAPATLE,,Madagascar,IRGC 125790,KALAPATLE::IRGC 68500-1,66244608,66244608,13.7,Temperate japonica,ERS468412,
661,IRRI,IRIS 313-10061,ESTRELA A::IRGC 72918-1-1,IRGC 72918,ESTRELA A,,Portugal,IRGC 125733,ESTRELA A::IRGC 72918-1,60568728,60568728,12.6,Japonica,ERS468413,
662,IRRI,IRIS 313-10062,REA::IRGC 73031-1-1,IRGC 73031,REA,,Greece,IRGC 126141,REA::IRGC 73031-1,51532836,51532836,10.7,Japonica,ERS468414,
663,IRRI,IRIS 313-10065,JAERAERYUKDO::IRGC 73053-1-1,IRGC 73053,JAERAERYUKDO,,South Korea,IRGC 127055,JAERAERYUKDO::IRGC 73053-1,42763470,42763470,8.9,Japonica,ERS468415,
664,IRRI,IRIS 313-10067,JEONBUKGUNGWEONNA::IRGC 73055-1-1,IRGC 73055,JEONBUKGUNGWEONNA,,South Korea,IRGC 125783,JEONBUKGUNGWEONNA::IRGC 73055-1,47625884,47625884,9.9,Japonica,ERS468416,
665,IRRI,IRIS 313-10071,CHIYODA WASE::IRGC 74467-1-1,IRGC 74467,CHIYODA WASE,,Japan,IRGC 125705,CHIYODA WASE::IRGC 74467-1,41779864,41779864,8.7,Japonica,ERS468417,
666,IRRI,IRIS 313-10073,OWARI MOCHI::IRGC 74513-1-1,IRGC 74513,OWARI MOCHI,,Japan,IRGC 125864,OWARI MOCHI::IRGC 74513-1,57769212,57769212,12.0,Japonica,ERS468418,
667,IRRI,IRIS 313-10074,RIKU AIKOKU::IRGC 74514-1-1,IRGC 74514,RIKU AIKOKU,,Japan,IRGC 125884,RIKU AIKOKU::IRGC 74514-1,55431450,55431450,11.5,Japonica,ERS468419,
668,IRRI,IRIS 313-10075,SANGOKU::IRGC 74518-1-1,IRGC 74518,SANGOKU,,Japan,IRGC 125895,SANGOKU::IRGC 74518-1,44542708,44542708,9.2,Indica,ERS468420,
669,IRRI,IRIS 313-10076,SHINA MOCHI::IRGC 74523-1-1,IRGC 74523,SHINA MOCHI,,Japan,IRGC 125900,SHINA MOCHI::IRGC 74523-1,30405612,30405612,6.3,Japonica,ERS468421,
670,IRRI,IRIS 313-10077,TAMASHIRO HIKARI::IRGC 74534-1-1,IRGC 74534,TAMASHIRO HIKARI,,Japan,IRGC 125917,TAMASHIRO HIKARI::IRGC 74534-1,53786868,53786868,11.2,Japonica,ERS468422,
671,IRRI,IRIS 313-10078,YOSHINO MOCHI::IRGC 74550-1-1,IRGC 74550,YOSHINO MOCHI,,Japan,IRGC 125947,YOSHINO MOCHI::IRGC 74550-1,73172826,73172826,15.2,Japonica,ERS468423,
672,IRRI,IRIS 313-10079,DANGO MOCHI::IRGC 74551-1-1,IRGC 74551,DANGO MOCHI,,Japan,IRGC 125722,DANGO MOCHI::IRGC 74551-1,44652012,44652012,9.3,Japonica,ERS468424,
673,IRRI,IRIS 313-10080,HIRAKAWA OKUTE::IRGC 74554-1-1,IRGC 74554,HIRAKAWA OKUTE,,Japan,IRGC 125762,HIRAKAWA OKUTE::IRGC 74554-1,64722600,64722600,13.4,Japonica,ERS468425,
674,IRRI,IRIS 313-10082,KYUUSHUU::IRGC 74558-1-1,IRGC 74558,KYUUSHUU,,Japan,IRGC 125816,KYUUSHUU::IRGC 74558-1,41881202,41881202,8.7,Japonica,ERS468426,
675,IRRI,IRIS 313-10094,GAWICHAL::IRGC 77653-1-1,IRGC 77653,GAWICHAL,,South Korea,IRGC 125750,GAWICHAL::IRGC 77653-1,48811890,48811890,10.1,Temperate japonica,ERS468427,
676,IRRI,IRIS 313-10096,JOKJEBICHAL::IRGC 77663-1-1,IRGC 77663,JOKJEBICHAL,,South Korea,IRGC 125787,JOKJEBICHAL::IRGC 77663-1,48326492,48326492,10.0,Tropical japonica,ERS468428,
677,IRRI,IRIS 313-10124,GALSAEGSSAL SHAREI::IRGC 82881-1-1,IRGC 82881,GALSAEGSSAL SHAREI,,South Korea,,,62332010,62332010,12.9,Temperate japonica,ERS468429,
678,IRRI,IRIS 313-10176,NAM ROO::IRGC 66996-1-1,IRGC 66996,NAM ROO,,Thailand,IRGC 125848,NAM ROO::IRGC 66996-1,,,,Tropical japonica,ERS468430,
679,IRRI,IRIS 313-10228,HAN NUO::IRGC 82350-1-1,IRGC 82350,HAN NUO,,China,IRGC 125758,HAN NUO::IRGC 82350-1,68819570,68819570,14.3,Tropical japonica,ERS468431,
680,IRRI,IRIS 313-8279,SAWAH::IRGC 71612-1-1,IRGC 71612,SAWAH,,Malaysia,IRGC 126086,SAWAH::IRGC 71612-1,60642496,60642496,12.6,Tropical japonica,ERS468432,
681,IRRI,IRIS 313-8323,REXARK ROGUE::IRGC 1972-1-1,IRGC 1972,REXARK ROGUE,,United States,,,83409122,83409122,17.3,Japonica,ERS468433,
682,IRRI,IRIS 313-8381,PURAK SIRIBA::IRGC 71598-1-1,IRGC 71598,PURAK SIRIBA,,Malaysia,IRGC 126308,PURAK SIRIBA::IRGC 71598-1,74117958,74117958,15.4,Tropical japonica,ERS468434,
683,IRRI,IRIS 313-8436,PIKTO MAMAS::IRGC 18487-1-1,IRGC 18487,PIKTO MAMAS,,Indonesia,IRGC 126307,PIKTO MAMAS::IRGC 18487-1,85468666,85468666,17.7,Tropical japonica,ERS468435,
684,IRRI,IRIS 313-8439,KENDINGA 5 (H)::IRGC 60310-1-1,IRGC 60310,KENDINGA 5(H),,Malaysia,IRGC 126220,KENDINGA 5 (H)::IRGC 60310-1,,,,Tropical japonica,ERS468436,
685,IRRI,IRIS 313-8565,YAHNG LEU::IRGC 78279-1-1,IRGC 78279,YAHNG LEU,,Thailand,IRGC 126316,YAHNG LEU::IRGC 78279-1,58284362,58284362,12.1,Tropical japonica,ERS468437,
686,IRRI,IRIS 313-8572,ONOY::IRGC 55418-1-1,IRGC 55418,ONOY,,Philippines,IRGC 126037,ONOY::IRGC 55418-1,62854334,62854334,13.0,Tropical japonica,ERS468438,
687,IRRI,IRIS 313-8599,BUE GA WA::IRGC 60824-1-1,IRGC 60824,BUE GA WA,,Thailand,IRGC 127041,BUE GA WA::IRGC 60824-1,54510914,54510914,11.3,Tropical japonica,ERS468439,
688,IRRI,IRIS 313-8627,PRELUDE::IRGC 1790-1-1,IRGC 1790,PRELUDE,,United States,IRGC 126260,PRELUDE::IRGC 1790-1,73562562,73562562,15.3,Temperate japonica,ERS468440,
689,IRRI,IRIS 313-8658,CP 231::IRGC 34018-1-1,IRGC 34018,CP231,,United States,IRGC 126195,CP 231::IRGC 34018-1,73823140,73823140,15.3,Tropical japonica,ERS468441,
690,IRRI,IRIS 313-8690,NEP HOA VANG::IRGC 40748-1-1,IRGC 40748,NEP HOA VANG,,Vietnam,IRGC 117537,NEP HOA VANG,,,,Tropical japonica,ERS468442,
691,IRRI,IRIS 313-8694,TRES MESES::IRGC 6464-1-1,IRGC 6464,TRES MESES,,Brazil,IRGC 126010,TRES MESES::IRGC 6464-1,,,,Tropical japonica,ERS468443,
692,IRRI,IRIS 313-8803,TEXAS PATNA::IRGC 1797-1-1,IRGC 1797,TEXAS PATNA,,United States,IRGC 126283,TEXAS PATNA::IRGC 1797-1,81293234,81293234,16.9,Intermediate type,ERS468444,
693,IRRI,IRIS 313-8865,PADI SEPAH::IRGC 48803-1-1,IRGC 48803,PADI SEPAH,,Indonesia,IRGC 126345,PADI SEPAH::IRGC 48803-1,57965528,57965528,12.0,Tropical japonica,ERS468445,
694,IRRI,IRIS 313-8911,LEK::IRGC 40199-1-1,IRGC 40199,LEK,,Thailand,,,122536350,93033428,19.3,Tropical japonica,ERS468446,
695,IRRI,IRIS 313-8998,SIGAE::IRGC 66645-1-1,IRGC 66645,SIGAE,,Indonesia,,,66448878,51098067,10.6,Intermediate type,ERS468447,
696,IRRI,IRIS 313-9050,ANGKARONG::IRGC 71493-1-1,IRGC 71493,ANGKARONG,,Malaysia,IRGC 127070,ANGKARONG::IRGC 71493-1,47184022,47184022,9.8,Tropical japonica,ERS468448,
697,IRRI,IRIS 313-9242,SUKARADJA::IRGC 18936-1-1,IRGC 18936,SUKARADJA,,Indonesia,,SUKARADJA::IRGC 18936-1,64853904,64853904,13.5,Tropical japonica,ERS468449,
698,IRRI,IRIS 313-9470,SAHULO FACHE SOYO::IRGC 66630-1-1,IRGC 66630,SAHULO FACHE SOYO,,Indonesia,IRGC 126310,SAHULO FACHE SOYO::IRGC 66630-1,93174844,93174844,19.3,Tropical japonica,ERS468450,
699,IRRI,IRIS 313-9568,PAMPANGON (H)::IRGC 60392-1-1,IRGC 60392,PAMPANGON(H),,Malaysia,IRGC 126346,PAMPANGON (H)::IRGC 60392-1,59350844,59350844,12.3,Tropical japonica,ERS468451,
700,IRRI,IRIS 313-9929,GOBYERNO::IRGC 47216-1-1,IRGC 47216,GOBYERNO,,Philippines,IRGC 127048,GOBYERNO::IRGC 47216-1,47606624,47606624,9.9,Tropical japonica,ERS468452,
701,IRRI,IRIS 313-10099,MANONGAZATO::IRGC 77876-1-1,IRGC 77876,MANONGAZATO,,Madagascar,IRGC 126303,MANONGAZATO::IRGC 77876-1,45243106,45243106,9.4,Tropical japonica,ERS468453,
702,IRRI,IRIS 313-8431,BOCAO::IRGC 50384-1-1,IRGC 50384,BOCAO,,Philippines,IRGC 127071,BOCAO::IRGC 50384-1,52304242,52304242,10.9,Tropical japonica,ERS468454,
703,IRRI,IRIS 313-8580,DAM::IRGC 23710-1-1,IRGC 23710,DAM,,Thailand,IRGC 126197,DAM::IRGC 23710-1,,,,Tropical japonica,ERS468455,
704,IRRI,IRIS 313-8637,BALINGMI::IRGC 62156-1-1,IRGC 62156,BALINGMI,,Bhutan,IRGC 126179,BALINGMI::IRGC 62156-1,37887104,37887104,7.9,Tropical japonica,ERS468456,
705,IRRI,IRIS 313-8687,KEREN FENHO::IRGC 56735-1-1,IRGC 56735,KEREN FENHO,,Guinea-Bissau,IRGC 126329,KEREN FENHO::IRGC 56735-1,71398498,71398498,14.8,Tropical japonica,ERS468457,
706,IRRI,IRIS 313-9742,LOHAMBITRO::IRGC 69857-1-1,IRGC 69857,LOHAMBITRO,,Madagascar,IRGC 127080,LOHAMBITRO::IRGC 69857-1,61767972,61767972,12.8,Tropical japonica,ERS468458,
707,IRRI,IRIS 313-10327,CAROLINO BLANCO::IRGC 117249-1-1,IRGC 117249,CAROLINO BLANCO,,Peru,IRGC 127042,CAROLINO BLANCO::IRGC 117249-1,69614406,69614406,14.4,Temperate japonica,ERS468459,
708,IRRI,IRIS 313-8205,SALVO::GERVEX 1672-C1-G1,,SALVO,,Italy,IRGC 122237,SALVO::GERVEX 1672-C1,59817062,59817062,12.4,Temperate japonica,ERS468460,
709,IRRI,IRIS 313-8134,S 102/2::GERVEX 1251-C1-G1,,S 102-2,,Portugal,IRGC 121816,S 102/2::GERVEX 1251-C1,50459722,50459722,10.5,Tropical japonica,ERS468461,
