"Table S1A. Information for the 2,466 rice accessions from the International Rice Genebank Collection at the International Rice Research Institute.",,,,,,,,,,,,,,,
Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Genetic_Stock_Accno,Genetic_stock_Designation (varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,SRA Accession,
31,IRRI,IRIS 313-9283,TAK SUFAID::IRGC 73127-1-1,IRGC 73127,TAK SUFAID,,Pakistan,IRGC 121134,TAK SUFAID::IRGC 73127-1,,,,Aus/boro,ERS467783,
32,IRRI,IRIS 313-9368,CHANDARHAT::IRGC 25845-1-1,IRGC 25845,CHANDARHAT,,Bangladesh,IRGC 121605,CHANDARHAT::IRGC 25845-1,,,,Aus/boro,ERS467784,
33,IRRI,IRIS 313-9422,CHUNGUR BALI::IRGC 25855-1-1,IRGC 25855,CHUNGUR BALI,,Bangladesh,IRGC 120915,CHUNGUR BALI::IRGC 25855-1,,,,Aus/boro,ERS467785,
34,IRRI,IRIS 313-9610,DANGAR::IRGC 76296-1-1,IRGC 76296,DANGAR,,India,IRGC 120927,DANGAR::IRGC 76296-1,,,,Aus/boro,ERS467786,
35,IRRI,IRIS 313-9626,KALIA::IRGC 34699-1-1,IRGC 34699,KALIA,,Bangladesh,IRGC 121005,KALIA::IRGC 34699-1,,,,Aus/boro,ERS467787,
36,IRRI,IRIS 313-9636,PODI HEENATI::IRGC 36345-1-1,IRGC 36345,PODI HEENATI,,Sri Lanka,IRGC 121473,PODI HEENATI::IRGC 36345-1,,,,Aus/boro,ERS467788,
37,IRRI,IRIS 313-9661,LENJA MURALI::IRGC 66815-1-1,IRGC 66815,LENJA MURALI,,Bangladesh,IRGC 121038,LENJA MURALI::IRGC 66815-1,,,,Aus/boro,ERS467789,
38,IRRI,IRIS 313-10020,HODARAWALA::IRGC 67631-1-1,IRGC 67631,HODARAWALA,,Sri Lanka,IRGC 120968,HODARAWALA::IRGC 67631-1,,,,Indica,ERS467790,
39,IRRI,IRIS 313-8253,KHAO DAWK MALI 105::IRGC 27748-1-1,IRGC 27748,KHAO DAWK MALI 105,,Thailand,IRGC 121235,KHAO DAWK MALI 105::IRGC 27748-2,,,,Indica,ERS467791,
40,IRRI,IRIS 313-9555,CHUA DAU::IRGC 4785-1-1,IRGC 4785,CHUA-DAU,,China,IRGC 120914,CHUA DAU::IRGC 4785-1,,,,Indica,ERS467792,
