,DNA_UNIQUE_ID,Variety Group (Tree)1,days_to_mat,source_country,rice_blast,fast,stdardized_mat,z_score
293,IRIS 313-10903,Indica,169.0,KAMPUCHEA,Susceptible,False,1.53676410433,1.51881226759
294,IRIS 313-10905,Indica,169.0,KAMPUCHEA,Susceptible,False,1.53676410433,1.51881226759
295,IRIS 313-10906,Indica,169.0,KAMPUCHEA,Susceptible,False,1.53676410433,1.51881226759
296,IRIS 313-10909,Indica,178.0,KAMPUCHEA,Susceptible,False,1.91006712562,1.8876491917
297,IRIS 313-10910,Indica,170.0,KAMPUCHEA,Susceptible,False,1.57824221781,1.55979414805
298,IRIS 313-10911,Indica,162.0,KAMPUCHEA,Susceptible,False,1.24641730999,1.2319391044
299,IRIS 313-10913,Indica,169.0,KAMPUCHEA,Susceptible,False,1.53676410433,1.51881226759
300,IRIS 313-11084,Indica,141.0,KAMPUCHEA,Susceptible,False,0.375376926968,0.371319614817
301,IRIS 313-10916,Temperate japonica,178.0,KAMPUCHEA,Susceptible,False,1.91006712562,1.8876491917
302,IRIS 313-12164,Tropical japonica,103.0,KAMPUCHEA,,True,-1.20079138516,-1.18599184252
303,IRIS 313-12325,Indica,159.0,CAMEROON,,False,1.12198296956,1.10899346303
304,IRIS 313-11763,Indica,122.0,CAMEROON,Susceptible,False,-0.412707229098,-0.407336113852
305,IRIS 313-10444,Intermediate type,128.0,CENTRAL AMERICA,,False,-0.163838548235,-0.161444831115
306,IRIS 313-9926,Indica,175.0,CHAD,,False,1.78563278519,1.76470355033
307,IRIS 313-10258,Basmati/sadri,103.0,CHILE,,True,-1.20079138516,-1.18599184252
308,IRIS 313-10258,Basmati/sadri,103.0,CHILE,,True,-1.20079138516,-1.18599184252
309,IRIS 313-8380,Aus/boro,105.0,CHINA,,True,-1.11783515821,-1.10402808161
310,IRIS 313-10164,Aus/boro,114.0,CHINA,,False,-0.744532136915,-0.735191157503
311,IRIS 313-8889,Indica,111.0,CHINA,Susceptible,False,-0.868966477347,-0.858136798871
312,IRIS 313-9065,Indica,113.0,CHINA,Susceptible,False,-0.786010250392,-0.776173037959
313,IRIS 313-8412,Indica,118.0,CHINA,Susceptible,False,-0.578619683007,-0.571263635677
314,IRIS 313-9204,Indica,101.0,CHINA,Susceptible,True,-1.28374761212,-1.26795560343
315,IRIS 313-11584,Indica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
316,IRIS 313-10170,Indica,108.0,CHINA,,False,-0.993400817778,-0.98108244024
317,IRIS 313-8433,Indica,114.0,CHINA,,False,-0.744532136915,-0.735191157503
318,IRIS 313-9253,Indica,95.0,CHINA,Susceptible,True,-1.53261629298,-1.51384688617
319,IRIS 313-10191,Indica,108.0,CHINA,,False,-0.993400817778,-0.98108244024
320,IRIS 313-10196,Indica,129.0,CHINA,Susceptible,False,-0.122360434758,-0.120462950659
321,IRIS 313-10178,Indica,105.0,CHINA,Susceptible,True,-1.11783515821,-1.10402808161
322,IRIS 313-9482,Indica,113.0,CHINA,Resistant,False,-0.786010250392,-0.776173037959
323,IRIS 313-11578,Indica,110.0,CHINA,,False,-0.910444590824,-0.899118679328
324,IRIS 313-10129,Indica,102.0,CHINA,,True,-1.24226949864,-1.22697372298
325,IRIS 313-9017,Indica,135.0,CHINA,,False,0.126508246105,0.125428332079
326,IRIS 313-9111,Indica,89.0,CHINA,Susceptible,True,-1.78148497384,-1.75973816891
327,IRIS 313-10224,Indica,116.0,CHINA,,False,-0.661575909961,-0.65322739659
328,IRIS 313-9727,Indica,102.0,CHINA,,True,-1.24226949864,-1.22697372298
329,IRIS 313-11576,Indica,102.0,CHINA,,True,-1.24226949864,-1.22697372298
330,IRIS 313-10226,Indica,105.0,CHINA,,True,-1.11783515821,-1.10402808161
331,IRIS 313-9723,Indica,126.0,CHINA,Susceptible,False,-0.246794775189,-0.243408592027
332,IRIS 313-10211,Indica,107.0,CHINA,,True,-1.03487893126,-1.0220643207
333,IRIS 313-8645,Indica,105.0,CHINA,,True,-1.11783515821,-1.10402808161
334,IRIS 313-10168,Indica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
335,IRIS 313-11726,Indica,134.0,CHINA,Susceptible,False,0.0850301326282,0.0844464516228
336,IRIS 313-8914,Indica,97.0,CHINA,Resistant,True,-1.44966006603,-1.43188312526
337,IRIS 313-10154,Indica,100.0,CHINA,Susceptible,True,-1.3252257256,-1.30893748389
338,IRIS 313-11571,Indica,102.0,CHINA,,True,-1.24226949864,-1.22697372298
339,IRIS 313-8405,Indica,118.0,CHINA,,False,-0.578619683007,-0.571263635677
340,IRIS 313-9730,Indica,111.0,CHINA,Susceptible,False,-0.868966477347,-0.858136798871
341,IRIS 313-11623,Indica,107.0,CHINA,,True,-1.03487893126,-1.0220643207
342,IRIS 313-11579,Indica,116.0,CHINA,,False,-0.661575909961,-0.65322739659
